155618606,Mark,Armendariz,Tyndall DriveTyndall Air Force Base FL 32403,mark@gmail.com,01-11-1980,Other,Finance,7384090623,Inactive
813647492,David,Duncan,1711 8th Street NorthwestWashington AR 20001,david@gmail.com,03-09-1993,Male,IT,4360383110,Active
445851942,Kimberly,Rosario,145 Saint John StreetManchester CT 06040,kimberly@gmail.com,09-18-2001,Female,DevOps,0225202804,Inactive
290104744,John,Bush,6021 Yarrow StreetArvada CO 80004,john@gmail.com,02-03-1985,Female,Accounting,9660234104,Inactive
829035104,Carolyn,Wilkinson,1013 Balboa AvenueCapitola CA 95010,carolyn@gmail.com,09-12-1989,Male,HR,9178599380,Inactive
285189403,Steven,Lunford,1495 Snell BoulevardNashville TN 37218,steven@gmail.com,10-24-1994,Male,Finance,0919786881,Active
766010433,Erica,Fazzino,3408 Bellisima PlaceLouisville KY 40245,erica@gmail.com,11-25-1992,Male,Accounting,6969043000,Active
491829214,Elaine,Hunn,95 Woods Hill Roadundefined VT 05488,elaine@gmail.com,08-27-1996,Female,IT,0662114531,Inactive
694948043,Jennifer,Anderson,1122 McDaniel StreetSun City Center FL 33573,jennifer@gmail.com,10-09-1996,Female,HR,5504846267,Inactive
579929845,Misty,Blockmon,8752 Pierce WayArvada CO 80003,misty@gmail.com,03-10-1974,Female,IT,2029575576,Active
194346276,Alexander,Callahan,8007 Kendrick Crossing LaneLouisville KY 40291,alexander@gmail.com,05-11-1996,Other,Accounting,6519753963,Active
587012469,Rafael,White,534 Hamilton Street NortheastWashington AR 20011,rafael@gmail.com,09-09-1990,Female,HR,4694071711,Inactive
199438748,Greg,Welch,412 Lakefront DrivePanama City Beach FL 32413,greg@gmail.com,07-06-1987,Other,Finance,1172517686,Active
158658781,Anna,Tanner,5601 West Crocus DriveGlendale AZ 85306,anna@gmail.com,12-01-1987,Female,Accounting,4171426729,Inactive
335582540,Stanley,Russell,3612 Jim Robison DriveEdmond OK 73013,stanley@gmail.com,08-03-1986,Male,Accounting,3356714886,Active
107238719,Lula,Alvidrez,14347 Corvallis StreetSan Leandro CA 94579,lula@gmail.com,10-23-1989,Female,HR,5937294983,Active
440522993,Margarita,Fremont,1509 Hadley AvenueNashville TN 37138,margarita@gmail.com,04-15-1994,Other,DevOps,4194716291,Active
